Generating SQLite file results/nsys_gradient_clip/20260903_143600/large_256_train_step.sqlite from results/nsys_gradient_clip/20260903_143600/large_256_train_step.nsys-rep
Processing [results/nsys_gradient_clip/20260903_143600/large_256_train_step.sqlite] with [/usr/local/cuda-12.2/nsight-systems-2023.2.3/host-linux-x64/reports/nvtx_kern_sum.py]... 

 ** NVTX Range Kernel Summary (nvtx_kern_sum):

        NVTX Range           Style     PID      TID    NVTX Inst  Kern Inst  Total Time (ns)  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                              Kernel Name                                             
 attention_softmax          PushPop  383,872  383,872         36         36          413,465   11,485.1   11,456.0    11,072    11,936        224.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
 attention_softmax          PushPop  383,872  383,872         36         36          325,564    9,043.4    9,088.0     8,448     9,503        228.3  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
 backward                   PushPop  383,872  383,872          1          1            1,504    1,504.0    1,504.0     1,504     1,504          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
 clip_gradient              PushPop  383,872  383,872          1        327        3,968,529   12,136.2    7,936.0     2,272    43,167      8,725.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 clip_gradient              PushPop  383,872  383,872          1        327        2,629,950    8,042.7    5,184.0     1,504    35,264      5,914.9  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
 clip_gradient              PushPop  383,872  383,872          1        327        2,436,674    7,451.6    6,400.0     2,688    26,144      3,547.6  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
 clip_gradient              PushPop  383,872  383,872          1        327          518,431    1,585.4    1,536.0     1,312     2,240        200.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
 clip_gradient              PushPop  383,872  383,872          1          1            2,048    2,048.0    2,048.0     2,048     2,048          0.0  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float…
 clip_gradient              PushPop  383,872  383,872          1          1            1,952    1,952.0    1,952.0     1,952     1,952          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorItera…
 clip_gradient              PushPop  383,872  383,872          1          1            1,727    1,727.0    1,727.0     1,727     1,727          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::Tenso…
 clip_gradient              PushPop  383,872  383,872          1          1            1,664    1,664.0    1,664.0     1,664     1,664          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, st…
 clip_gradient              PushPop  383,872  383,872          1          1            1,663    1,663.0    1,663.0     1,663     1,663          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
 forward                    PushPop  383,872  383,872          1         72       25,195,281  349,934.5  349,837.0   348,605   354,140        718.3  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_exe…
 forward                    PushPop  383,872  383,872          1        180       21,230,517  117,947.3   77,087.0    76,607   282,366     82,035.7  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_e…
 forward                    PushPop  383,872  383,872          1        434        2,111,055    4,864.2    5,376.0     3,936     6,656        765.9  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 forward                    PushPop  383,872  383,872          1        180        1,355,156    7,528.6    7,488.0     7,168     8,032        197.6  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_e…
 forward                    PushPop  383,872  383,872          1         72        1,348,141   18,724.2   18,656.0    18,112    19,775        400.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
 forward                    PushPop  383,872  383,872          1         36        1,180,024   32,778.4   32,784.0    32,096    33,440        341.4  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x128x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_ex…
 forward                    PushPop  383,872  383,872          1         36          871,993   24,222.0   24,192.0    23,904    25,183        210.4  sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_exe…
 forward                    PushPop  383,872  383,872          1        216          797,832    3,693.7    3,007.5     2,656     6,112      1,120.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
 forward                    PushPop  383,872  383,872          1         36          693,531   19,264.8   19,216.0    18,976    19,808        180.7  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 forward                    PushPop  383,872  383,872          1         72          642,873    8,928.8    8,928.0     8,736     9,088         74.4  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>,…
