
NOTICE: Existing SQLite export found: results/nsys_formal/20260902_215854/large_256_forward.sqlite
        It is assumed file was previously exported from: results/nsys_formal/20260902_215854/large_256_forward.nsys-rep
        Consider using --force-export=true if needed.

Processing [results/nsys_formal/20260902_215854/large_256_forward.sqlite] with [/usr/local/cuda-12.2/nsight-systems-2023.2.3/host-linux-x64/reports/nvtx_kern_sum.py]... 
NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
profile_region,PushPop,695905,695905,1,36,412284,11452.3,11455.5,11135,12096,250.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
profile_region,PushPop,695905,695905,1,36,388480,10791.1,10768.0,10400,11201,203.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
profile_region,PushPop,695905,695905,1,36,325881,9052.3,9056.0,8672,9504,167.8,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
profile_region,PushPop,695905,695905,1,73,217023,2972.9,2944.0,2880,3264,76.0,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
profile_region,PushPop,695905,695905,1,73,121821,1668.8,1727.0,1535,2112,112.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
profile_region,PushPop,695905,695905,1,73,117312,1607.0,1663.0,1472,1888,99.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
profile_region,PushPop,695905,695905,1,36,104639,2906.6,2912.0,2848,3008,40.8,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::CompareFunctor<long>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
profile_region,PushPop,695905,695905,1,36,55289,1535.8,1536.0,1344,1920,136.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
profile_region,PushPop,695905,695905,1,36,47073,1307.6,1312.0,1248,1345,21.8,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
profile_region,PushPop,695905,695905,1,1,5727,5727.0,5727.0,5727,5727,0.0,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"

